=== BLOCK_TRAVERSAL_FOR_SPLIT BS=VEC_LEN/NT ===
success
T  0: 0.000060000000000 s
T  1: 0.000060000000000 s
T  2: 0.000061000000000 s
T  3: 0.000060000000000 s
T  4: 0.000061000000000 s
T  5: 0.000060000000000 s
T  6: 0.000060000000000 s
T  7: 0.000060000000000 s
T  8: 0.000061000000000 s
T  9: 0.000060000000000 s
T 10: 0.000060000000000 s
T 11: 0.000060000000000 s
T 12: 0.000086000000000 s
T 13: 0.000086000000000 s
T 14: 0.000093000000000 s
T 15: 0.000068000000000 s
T 16: 0.000061000000000 s
T 17: 0.000064000000000 s
T 18: 0.000070000000000 s
T 19: 0.000069000000000 s

=== BLOCK_TRAVERSAL_FOR_SPLIT BS=1 ===
error
T  0: 0.000321000000000 s
T  1: 0.000321000000000 s
T  2: 0.000322000000000 s
T  3: 0.000325000000000 s
T  4: 0.000322000000000 s
T  5: 0.000323000000000 s
T  6: 0.000321000000000 s
T  7: 0.000323000000000 s
T  8: 0.000322000000000 s
T  9: 0.000321000000000 s
T 10: 0.000524000000000 s
T 11: 0.000322000000000 s
T 12: 0.000514000000000 s
T 13: 0.000321000000000 s
T 14: 0.000322000000000 s
T 15: 0.000321000000000 s
T 16: 0.000324000000000 s
T 17: 0.000325000000000 s
T 18: 0.000633000000000 s
T 19: 0.000580000000000 s

