=== PARTITIONED_FORALL BS=VEC_LEN/NT ===
success
T  0: 7.225615000000000 s
T  1: 0.003883000000000 s
T  2: 0.003883000000000 s
T  3: 0.003862000000000 s
T  4: 0.003874000000000 s
T  5: 0.003878000000000 s
T  6: 0.003863000000000 s
T  7: 0.003859000000000 s
T  8: 0.003891000000000 s
T  9: 0.003857000000000 s
T 10: 0.003887000000000 s
T 11: 0.003820000000000 s
T 12: 0.006363000000000 s
T 13: 0.003869000000000 s
T 14: 0.003881000000000 s
T 15: 0.003874000000000 s
T 16: 0.003880000000000 s
T 17: 0.003872000000000 s
T 18: 0.007656000000000 s
T 19: 0.007550000000000 s

=== PARTITIONED_FORALL BS=1 ===
success
T  0: 0.004199000000000 s
T  1: 0.004191000000000 s
T  2: 0.004222000000000 s
T  3: 0.004207000000000 s
T  4: 0.004327000000000 s
T  5: 0.004207000000000 s
T  6: 0.004219000000000 s
T  7: 0.004636000000000 s
T  8: 0.006703000000000 s
T  9: 0.004210000000000 s
T 10: 0.004219000000000 s
T 11: 0.004218000000000 s
T 12: 0.004204000000000 s
T 13: 0.004220000000000 s
T 14: 0.004222000000000 s
T 15: 0.004221000000000 s
T 16: 0.006671000000000 s
T 17: 0.004225000000000 s
T 18: 0.007962000000000 s
T 19: 0.007990000000000 s

