=== SIMPLE_TEST BS=VEC_LEN/NT ===
success
T  0: 7.218800000000000 s
T  1: 0.000000000000000 s
T  2: 0.000000000000000 s
T  3: 0.000000000000000 s
T  4: 0.000000000000000 s
T  5: 0.000000000000000 s
T  6: 0.000000000000000 s
T  7: 0.000000000000000 s
T  8: 0.000001000000000 s
T  9: 0.000000000000000 s
T 10: 0.000001000000000 s
T 11: 0.000000000000000 s
T 12: 0.000000000000000 s
T 13: 0.000001000000000 s
T 14: 0.000000000000000 s
T 15: 0.000000000000000 s
T 16: 0.000001000000000 s
T 17: 0.000002000000000 s
T 18: 0.000000000000000 s
T 19: 0.000000000000000 s

=== SIMPLE_TEST BS=1 ===
success
T  0: 7.402755000000000 s
T  1: 0.000000000000000 s
T  2: 0.000000000000000 s
T  3: 0.000000000000000 s
T  4: 0.000000000000000 s
T  5: 0.000000000000000 s
T  6: 0.000001000000000 s
T  7: 0.000001000000000 s
T  8: 0.000000000000000 s
T  9: 0.000001000000000 s
T 10: 0.000000000000000 s
T 11: 0.000001000000000 s
T 12: 0.000000000000000 s
T 13: 0.000000000000000 s
T 14: 0.000000000000000 s
T 15: 0.000000000000000 s
T 16: 0.000000000000000 s
T 17: 0.000001000000000 s
T 18: 0.000001000000000 s
T 19: 0.000000000000000 s

=== AFFINITY_FORALL BS=VEC_LEN/NT ===
success
T  0: 0.014871000000000 s
T  1: 0.015485000000000 s
T  2: 0.014933000000000 s
T  3: 0.014919000000000 s
T  4: 0.014920000000000 s
T  5: 0.014935000000000 s
T  6: 0.014920000000000 s
T  7: 0.014932000000000 s
T  8: 0.019957000000000 s
T  9: 0.014921000000000 s
T 10: 0.019996000000000 s
T 11: 0.014925000000000 s
T 12: 0.014917000000000 s
T 13: 0.019788000000000 s
T 14: 0.014919000000000 s
T 15: 0.014920000000000 s
T 16: 0.021211000000000 s
T 17: 0.014948000000000 s
T 18: 0.021203000000000 s
T 19: 0.021127000000000 s

=== AFFINITY_FORALL BS=1 ===
success
T  0: 0.005804000000000 s
T  1: 0.005800000000000 s
T  2: 0.006201000000000 s
T  3: 0.005804000000000 s
T  4: 0.005802000000000 s
T  5: 0.005801000000000 s
T  6: 0.005802000000000 s
T  7: 0.005803000000000 s
T  8: 0.008421000000000 s
T  9: 0.005801000000000 s
T 10: 0.005806000000000 s
T 11: 0.005804000000000 s
T 12: 0.005808000000000 s
T 13: 0.005800000000000 s
T 14: 0.005848000000000 s
T 15: 0.005804000000000 s
T 16: 0.005835000000000 s
T 17: 0.005829000000000 s
T 18: 0.010244000000000 s
T 19: 0.010337000000000 s

=== ITERATION_FORALL BS=VEC_LEN/NT ===
success
T  0: 0.377046000000000 s
T  1: 0.374148000000000 s
T  2: 0.372061000000000 s
T  3: 0.380064000000000 s
T  4: 0.379870000000000 s
T  5: 0.378617000000000 s
T  6: 0.383349000000000 s
T  7: 0.382677000000000 s
T  8: 0.400581000000000 s
T  9: 0.399827000000000 s
T 10: 0.397675000000000 s
T 11: 0.391955000000000 s
T 12: 0.409103000000000 s
T 13: 0.395257000000000 s
T 14: 0.396123000000000 s
T 15: 0.387642000000000 s
T 16: 0.382365000000000 s
T 17: 0.392591000000000 s
T 18: 0.792006000000000 s
T 19: 0.413520000000000 s

=== ITERATION_FORALL BS=1 ===
success
T  0: 0.004200000000000 s
T  1: 0.004189000000000 s
T  2: 0.004225000000000 s
T  3: 0.004206000000000 s
T  4: 0.004426000000000 s
T  5: 0.004207000000000 s
T  6: 0.004221000000000 s
T  7: 0.004203000000000 s
T  8: 0.004205000000000 s
T  9: 0.004210000000000 s
T 10: 0.006721000000000 s
T 11: 0.004219000000000 s
T 12: 0.004201000000000 s
T 13: 0.006708000000000 s
T 14: 0.004222000000000 s
T 15: 0.004240000000000 s
T 16: 0.006273000000000 s
T 17: 0.004247000000000 s
T 18: 0.007771000000000 s
T 19: 0.008896000000000 s

=== PARTITIONED_FORALL BS=VEC_LEN/NT ===
success
T  0: 7.240677000000000 s
T  1: 0.003870000000000 s
T  2: 0.003881000000000 s
T  3: 0.003887000000000 s
T  4: 0.003833000000000 s
T  5: 0.003881000000000 s
T  6: 0.003867000000000 s
T  7: 0.003868000000000 s
T  8: 0.006431000000000 s
T  9: 0.003867000000000 s
T 10: 0.003860000000000 s
T 11: 0.004490000000000 s
T 12: 0.006235000000000 s
T 13: 0.003864000000000 s
T 14: 0.003865000000000 s
T 15: 0.004203000000000 s
T 16: 0.006074000000000 s
T 17: 0.003865000000000 s
T 18: 0.007514000000000 s
T 19: 0.006625000000000 s

=== PARTITIONED_FORALL BS=1 ===
success
T  0: 0.004199000000000 s
T  1: 0.004195000000000 s
T  2: 0.004223000000000 s
T  3: 0.004206000000000 s
T  4: 0.004468000000000 s
T  5: 0.004206000000000 s
T  6: 0.004219000000000 s
T  7: 0.004201000000000 s
T  8: 0.004207000000000 s
T  9: 0.004209000000000 s
T 10: 0.006697000000000 s
T 11: 0.004217000000000 s
T 12: 0.006646000000000 s
T 13: 0.004215000000000 s
T 14: 0.004223000000000 s
T 15: 0.006896000000000 s
T 16: 0.004269000000000 s
T 17: 0.007080000000000 s
T 18: 0.007886000000000 s
T 19: 0.008007000000000 s

=== SIMPLE_FOR BS=VEC_LEN/NT ===
success
T  0: 0.376476000000000 s
T  1: 0.377707000000000 s
T  2: 0.381536000000000 s
T  3: 0.376345000000000 s
T  4: 0.378264000000000 s
T  5: 0.374131000000000 s
T  6: 0.370503000000000 s
T  7: 0.384390000000000 s
T  8: 0.404300000000000 s
T  9: 0.402314000000000 s
