=== SIMPLE_TEST BS=1 ===
success
T  0: 7.558357000000000 s
T  1: 0.000000000000000 s
T  2: 0.000000000000000 s
T  3: 0.000000000000000 s
T  4: 0.000000000000000 s
T  5: 0.000000000000000 s
T  6: 0.000001000000000 s
T  7: 0.000000000000000 s
T  8: 0.000000000000000 s
T  9: 0.000001000000000 s
T 10: 0.000001000000000 s
T 11: 0.000001000000000 s
T 12: 0.000000000000000 s
T 13: 0.000000000000000 s
T 14: 0.000000000000000 s
T 15: 0.000001000000000 s
T 16: 0.000000000000000 s
T 17: 0.000001000000000 s
T 18: 0.000000000000000 s
T 19: 0.000000000000000 s

=== SIMPLE_TEST BS=VEC_LEN/NT ===
success
T  0: 7.316269000000000 s
T  1: 0.000001000000000 s
T  2: 0.000000000000000 s
T  3: 0.000000000000000 s
T  4: 0.000000000000000 s
T  5: 0.000000000000000 s
T  6: 0.000001000000000 s
T  7: 0.000000000000000 s
T  8: 0.000000000000000 s
T  9: 0.000000000000000 s
T 10: 0.000000000000000 s
T 11: 0.000000000000000 s
T 12: 0.000001000000000 s
T 13: 0.000001000000000 s
T 14: 0.000000000000000 s
T 15: 0.000001000000000 s
T 16: 0.000001000000000 s
T 17: 0.000000000000000 s
T 18: 0.000001000000000 s
T 19: 0.000000000000000 s

=== SIMPLE_TEST BS=\(VEC_LEN/NT\)+1 ===
success
T  0: 7.212814000000000 s
T  1: 0.000001000000000 s
T  2: 0.000000000000000 s
T  3: 0.000000000000000 s
T  4: 0.000000000000000 s
T  5: 0.000000000000000 s
T  6: 0.000000000000000 s
T  7: 0.000000000000000 s
T  8: 0.000000000000000 s
T  9: 0.000001000000000 s
T 10: 0.000000000000000 s
T 11: 0.000000000000000 s
T 12: 0.000000000000000 s
T 13: 0.000000000000000 s
T 14: 0.000000000000000 s
T 15: 0.000001000000000 s
T 16: 0.000001000000000 s
T 17: 0.000000000000000 s
T 18: 0.000001000000000 s
T 19: 0.000001000000000 s

=== AFFINITY_FORALL BS=1 ===
success
T  0: 0.005805000000000 s
T  1: 0.005802000000000 s
T  2: 0.005804000000000 s
T  3: 0.005806000000000 s
T  4: 0.005805000000000 s
T  5: 0.005802000000000 s
T  6: 0.005812000000000 s
T  7: 0.005802000000000 s
T  8: 0.005814000000000 s
T  9: 0.007521000000000 s
T 10: 0.005861000000000 s
T 11: 0.007751000000000 s
T 12: 0.008994000000000 s
T 13: 0.009095000000000 s
T 14: 0.005840000000000 s
T 15: 0.008791000000000 s
T 16: 0.009148000000000 s
T 17: 0.009966000000000 s
T 18: 0.010144000000000 s
T 19: 0.010149000000000 s

=== AFFINITY_FORALL BS=VEC_LEN/NT ===
success
T  0: 0.015479000000000 s
T  1: 0.014967000000000 s
T  2: 0.014936000000000 s
T  3: 0.014940000000000 s
T  4: 0.014929000000000 s
T  5: 0.014933000000000 s
T  6: 0.018910000000000 s
T  7: 0.018392000000000 s
T  8: 0.014892000000000 s
T  9: 0.017637000000000 s
T 10: 0.014992000000000 s
T 11: 0.014948000000000 s
T 12: 0.017604000000000 s
T 13: 0.014924000000000 s
T 14: 0.020454000000000 s
T 15: 0.020606000000000 s
T 16: 0.021141000000000 s
T 17: 0.021524000000000 s
T 18: 0.022219000000000 s
T 19: 0.122134000000000 s

=== AFFINITY_FORALL BS=\(VEC_LEN/NT\)+1 ===
success
T  0: 0.012184000000000 s
T  1: 0.011978000000000 s
T  2: 0.011954000000000 s
T  3: 0.011863000000000 s
T  4: 0.011972000000000 s
T  5: 0.013231000000000 s
T  6: 0.012000000000000 s
T  7: 0.017024000000000 s
T  8: 0.012015000000000 s
T  9: 0.014730000000000 s
T 10: 0.017010000000000 s
T 11: 0.013993000000000 s
T 12: 0.014787000000000 s
T 13: 0.015558000000000 s
T 14: 0.012164000000000 s
T 15: 0.011990000000000 s
T 16: 0.016544000000000 s
T 17: 0.016718000000000 s
T 18: 0.016705000000000 s
T 19: 0.016699000000000 s

=== ITERATION_FORALL BS=1 ===
success
T  0: 0.004201000000000 s
T  1: 0.004190000000000 s
T  2: 0.004222000000000 s
T  3: 0.004206000000000 s
T  4: 0.004563000000000 s
T  5: 0.004207000000000 s
T  6: 0.004227000000000 s
T  7: 0.004209000000000 s
T  8: 0.004213000000000 s
T  9: 0.004217000000000 s
T 10: 0.004256000000000 s
T 11: 0.006668000000000 s
T 12: 0.004214000000000 s
T 13: 0.004252000000000 s
T 14: 0.007008000000000 s
T 15: 0.004219000000000 s
T 16: 0.007989000000000 s
T 17: 0.007424000000000 s
T 18: 0.007435000000000 s
T 19: 0.007927000000000 s

=== ITERATION_FORALL BS=VEC_LEN/NT ===
success
T  0: 0.381417000000000 s
T  1: 0.388297000000000 s
T  2: 0.374868000000000 s
T  3: 0.384963000000000 s
T  4: 0.376439000000000 s
T  5: 0.388878000000000 s
T  6: 0.398610000000000 s
T  7: 0.391567000000000 s
T  8: 0.405734000000000 s
T  9: 0.410421000000000 s
T 10: 0.386513000000000 s
T 11: 0.406401000000000 s
T 12: 0.383872000000000 s
T 13: 0.407057000000000 s
T 14: 0.386505000000000 s
T 15: 0.377514000000000 s
T 16: 0.808650000000000 s
T 17: 0.805064000000000 s
T 18: 0.805260000000000 s
T 19: 0.806586000000000 s

=== ITERATION_FORALL BS=\(VEC_LEN/NT\)+1 ===
success
T  0: 0.378366000000000 s
T  1: 0.380294000000000 s
T  2: 0.382475000000000 s
T  3: 0.384903000000000 s
T  4: 0.384582000000000 s
T  5: 0.392142000000000 s
T  6: 0.395087000000000 s
T  7: 0.407330000000000 s
T  8: 0.391165000000000 s
T  9: 0.398760000000000 s
T 10: 0.410010000000000 s
T 11: 0.408841000000000 s
T 12: 0.403387000000000 s
T 13: 0.387214000000000 s
T 14: 0.383478000000000 s
T 15: 0.390518000000000 s
T 16: 0.415121000000000 s
T 17: 0.802499000000000 s
T 18: 0.793509000000000 s
T 19: 0.810726000000000 s

=== PARTITIONED_FORALL BS=1 ===
success
T  0: 0.004201000000000 s
T  1: 0.004190000000000 s
T  2: 0.004226000000000 s
T  3: 0.004210000000000 s
T  4: 0.004219000000000 s
T  5: 0.004208000000000 s
T  6: 0.004231000000000 s
T  7: 0.004209000000000 s
T  8: 0.004230000000000 s
T  9: 0.004220000000000 s
T 10: 0.005282000000000 s
T 11: 0.004235000000000 s
T 12: 0.006534000000000 s
T 13: 0.006674000000000 s
T 14: 0.004247000000000 s
T 15: 0.004237000000000 s
T 16: 0.008051000000000 s
T 17: 0.007979000000000 s
T 18: 0.007525000000000 s
T 19: 0.008109000000000 s

=== PARTITIONED_FORALL BS=VEC_LEN/NT ===
success
T  0: 7.274577000000000 s
T  1: 0.003868000000000 s
T  2: 0.003866000000000 s
T  3: 0.003864000000000 s
T  4: 0.003888000000000 s
T  5: 0.003869000000000 s
T  6: 0.003869000000000 s
T  7: 0.003879000000000 s
T  8: 0.003974000000000 s
T  9: 0.003867000000000 s
T 10: 0.004023000000000 s
T 11: 0.003870000000000 s
T 12: 0.004277000000000 s
T 13: 0.003891000000000 s
T 14: 0.003880000000000 s
T 15: 0.003885000000000 s
T 16: 0.007721000000000 s
T 17: 0.007721000000000 s
T 18: 0.007731000000000 s
T 19: 0.006880000000000 s

=== PARTITIONED_FORALL BS=\(VEC_LEN/NT\)+1 ===
success
T  0: 0.407413000000000 s
T  1: 0.403101000000000 s
T  2: 0.402705000000000 s
T  3: 0.362080000000000 s
T  4: 0.360818000000000 s
T  5: 0.404632000000000 s
T  6: 0.366516000000000 s
T  7: 0.428867000000000 s
T  8: 0.376660000000000 s
T  9: 0.427202000000000 s
T 10: 0.411731000000000 s
T 11: 0.403799000000000 s
T 12: 0.366062000000000 s
T 13: 0.426767000000000 s
T 14: 0.417992000000000 s
T 15: 0.401611000000000 s
T 16: 0.828463000000000 s
T 17: 0.436473000000000 s
T 18: 0.380182000000000 s
T 19: 0.824086000000000 s

=== SIMPLE_FOR BS=1 ===
success
T  0: 0.001023000000000 s
T  1: 0.001024000000000 s
T  2: 0.001025000000000 s
T  3: 0.001026000000000 s
T  4: 0.001026000000000 s
T  5: 0.001024000000000 s
T  6: 0.001025000000000 s
T  7: 0.001023000000000 s
T  8: 0.001023000000000 s
T  9: 0.001648000000000 s
T 10: 0.001046000000000 s
T 11: 0.001608000000000 s
T 12: 0.001026000000000 s
T 13: 0.001023000000000 s
T 14: 0.001569000000000 s
T 15: 0.001054000000000 s
T 16: 0.002276000000000 s
T 17: 0.001716000000000 s
T 18: 0.001723000000000 s
T 19: 0.001712000000000 s

=== SIMPLE_FOR BS=VEC_LEN/NT ===
success
T  0: 0.369266000000000 s
T  1: 0.368950000000000 s
T  2: 0.374753000000000 s
T  3: 0.370119000000000 s
T  4: 0.368849000000000 s
T  5: 0.380609000000000 s
T  6: 0.387609000000000 s
T  7: 0.386806000000000 s
T  8: 0.396374000000000 s
T  9: 0.362925000000000 s
T 10: 0.380006000000000 s
T 11: 0.375308000000000 s
T 12: 0.404602000000000 s
T 13: 0.386495000000000 s
T 14: 0.393063000000000 s
T 15: 0.407239000000000 s
T 16: 0.390971000000000 s
T 17: 0.790772000000000 s
T 18: 0.801812000000000 s
T 19: 0.802221000000000 s

=== SIMPLE_FOR BS=\(VEC_LEN/NT\)+1 ===
success
T  0: 0.372422000000000 s
T  1: 0.374972000000000 s
T  2: 0.383693000000000 s
T  3: 0.379581000000000 s
T  4: 0.386783000000000 s
T  5: 0.379934000000000 s
T  6: 0.390772000000000 s
T  7: 0.394564000000000 s
T  8: 0.405826000000000 s
T  9: 0.406033000000000 s
T 10: 0.396375000000000 s
T 11: 0.385158000000000 s
T 12: 0.391254000000000 s
T 13: 0.401311000000000 s
T 14: 0.405265000000000 s
